id,Comercial_Name,Social_reason,Activity,Size,Colony,Postal_Code,State,City,Phone,EMAIL,Web_Page,Max_People
12,INSTITUTO CONSTRUCTOR DE INFRAESTRUCTURA FÍSICA EDUCATIVA Y DEPORTIVA DE NUEVO LEON,GOBIERNO ESTATAL ,Actividades administrativas de instituciones de bienestar social,101 a 250 personas,FRANCISCO GARCIA NARANJO (INDECO),64310,Nuevo León,Monterrey,,DIR.GENERAL@ICIFED.GOB.MX,WWW.NL.GOB.MX,250
13,"INSTITUTO DE CAPACITACIO Y EDUCACION PARA EL TRBAJO, AC INSTITUTO DE CAPACITACION Y EDUCACION PARA EL TRABAJO",INSTITUTO DE CAPACITACION Y EDUCACION PARA EL TRABAJO ,Actividades administrativas de instituciones de bienestar social,51 a 100 personas,CIUDAD GUADALUPE CENTRO,64000,Nuevo León,Monterrey,8120202828,AYANEZ@ICET.COM.MX,,100
14,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO,INSTITUTO DE SEGURIDAD Y SERVICIOS SOCIALES DE LOS TRABAJADORES DEL ESTADO ,Actividades administrativas de instituciones de bienestar social,101 a 250 personas,OBISPADO,64010,Nuevo León,Monterrey,8183892600,RECURSOS.HUMANOS@ISSSTE.GOB.MX,WWW.ISSSTE.GOB.MX,250
15,OFICINA DE SEGURIDAD SOCIAL,GOBIERNO DEL ESTADO DE NUEVO LEÓN ,Actividades administrativas de instituciones de bienestar social,51 a 100 personas,MONTERREY CENTRO,64000,Nuevo León,Monterrey,8120207807,JESUS.GONZALEZ@NUEVOLEON.GOB.MX,,100
16,PODER JUDICIAL DE LA FEDERACION,PODER JUDICIAL DE LA FEDERACION ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,RESIDENCIAL SANTA BARBARA,66266,Nuevo León,San Pedro Garza García,8181332200,IRMA.RAMIREZ.REYES@CORREO.CJF.GOB.MX,,251
17,PODER JUDICIAL DEL ESTADO DE NUEVO LEON,PODER JUDICIAL DEL ESTADO DE NUEVO LEOB ,Impartición de justicia y mantenimiento de la seguridad y el orden público,51 a 100 personas,CENTRO DE MONTERREY,64000,Nuevo León,Monterrey,,JESTION.EJECUCION@PJENL.GOB.MX,WWW.PJENL.GOB.MX,100
18,PROFECO,PROCURADURIA FEDERAL DEL CONSUMIDOR DELEGACION NUEVO LEON ,Regulación y fomento del desarrollo económico,51 a 100 personas,MITRAS CENTRO,64460,Nuevo León,Monterrey,,MONTERREY.ADMIN@PROFECO.GOB.MX,WWW.PROFECO.GOB.MX,100
19,SAGARPA,,Regulación y fomento del desarrollo económico,101 a 250 personas,FIERRO,64590,Nuevo León,Monterrey,8111607500,ADMINISTRATIVO@NVL.SEDER.GOB.MX,WWW.SADER.GOB.MX,250
20,SECRETARIA DE CONTROL Y SUSTENTABILIDAD  URBANA,SECRETARIA DE CONTROL Y SUSTENTABILIDAD URBANA ,Regulación y fomento de actividades para mejorar y preservar el medio ambiente,101 a 250 personas,AZTECA,67150,Nuevo León,Guadalupe,,SUSTENTABILIDADGPE@GMAIL.COM,,250
21,SECRETARIA DE MOVILIDAD,GOBIERNO DEL MUNICIPIO DE SAN NICOLAS ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,VILLARREAL,66427,Nuevo León,San Nicolás de los Garza,,TRANSITO@SANICOLAS.GOB.MX,,251
22,SECRETARIA DE OBRAS PUBLICAS,SECRETARIA DE OBRAS PUBLICAS ,Administración pública en general,51 a 100 personas,AZTECA,67150,Nuevo León,Guadalupe,8121904841,MARCELODAVID_7200@HOTMAIL.COM,WWW.GUADALUPE.GOB.MX,100
23,SECRETARIA DE SEGURIDAD PUBLICA DEL ESTADO,GOBIERNO DEL ESTADO ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,REFORMA,64550,Nuevo León,Monterrey,8120203600,SSPNL@NUEVOLEON.GOB.MX,WWW.NL.GOB.MX,251
24,SECRETARIA DE VIALIDAD Y TRANSITO DE MONTERREY,GOBIERNO ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,MITRAS NORTE,64320,Nuevo León,Monterrey,8181610775,HECTOR.MATA@MONTERREY.GOB.MX,WWW.MONTERRET.GOB.MX,251
25,SEGURIDAD PUBLICA DEL ESTADO C5,GOBIERNO DEL ESTADO DE NUEVO LEÓN ,Impartición de justicia y mantenimiento de la seguridad y el orden público,251 y más personas,HACIENDA SANTA LUCIA,64987,Nuevo León,Monterrey,8120203210,066@NUEVOLEON.GOB.MX,WWW.SEGOB.COM.MX,251
26,SEPTIMA ZONA MILITAR,GOBIERNO FEDERAL ,Actividades de seguridad nacional,251 y más personas,SEPTIMA ZONA MILITAR,66600,Nuevo León,Apodaca,,CMCIA.7ZM@SEDENA.GOB.MX,,251
27,SERVICIO DE ADMINISTRACION TRIBUTARIA,SECRETARIA DE HACIENDA Y CREDITO PUBLICO ,Administración pública en general,251 y más personas,RIVERAS DE LA PURISIMA,67139,Nuevo León,Guadalupe,8181447925,ANICETO.RODRIGUEZ@SAT.GOB.MX,WWW.SAT.GOB.MX,251
28,SERVICIOS PUBLICOS DE SAN PEDRO,GOBIERNO ,Administración pública en general,251 y más personas,LUCIO BLANCO,66238,Nuevo León,San Pedro Garza García,8110524200,BROJAS@SANPEDRO.GOB.MX,WWW.SANPEDRO.GOB.MX,251
29,SIMEPRODE,SISTEMA INTEGRAL PARA EL MANEJO ECOLOGICO Y PROCESAMIENTO DE DESECHOS ,Regulación y fomento de actividades para mejorar y preservar el medio ambiente,51 a 100 personas,MONTERREY CENTRO,64000,Nuevo León,Monterrey,8120209500,SIMEPRODE@NUEVOLEON.GOB.MX,,100
30,SISTEMA DE CAMINOS DE NUEVO LEON,SISTEMA DE CAMINOS DE NUEVO LEÓN ,Regulación y fomento del desarrollo económico,101 a 250 personas,MONTERREY CENTRO,64000,Nuevo León,Monterrey,,SCAMINOS@NUEVOLEON.GOB.MX,,250
31,SUBSECRETARIA DE PREVENCION Y PARTICIAPCION CIUDADANA,GOBIERNO DEL ESTADO DE NUEVO LEÓN ,Actividades administrativas de instituciones de bienestar social,51 a 100 personas,CENTRO DE MONTERREY,64000,Nuevo León,Monterrey,,JAVIER.MONTES@NUEVOLEON.GOB.MX,,100
32,TORRE ADMINISTRATIVA,GOBIERNO DEL ESTADO DE NUEVO LEON ,Administración pública en general,251 y más personas,OBRERA,64010,Nuevo León,Monterrey,,JOSEFINA.VILLANUEVA@NL.GOB.MX,WWW.NL.GOB.MX,251
33,TRIBUNAL DE JUSTICIA ADMINISTRATIVA,TRIBUNAL DE JUSTICIA ADMINISTRATIVA DEL ESTADO DE NUEVO LEON ,Impartición de justicia y mantenimiento de la seguridad y el orden público,101 a 250 personas,OBISPADO,64060,Nuevo León,Monterrey,8120209300,MARCELA.GUTIERREZ@NUEVOLEON.GOB.MX,WWW.TCANL.GOB.MX,250
34,TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACION SALA REGIONAL MONTERREY,TRIBUNAL ELECTORAL DEL PODER JUDICIAL DE LA FEDERACION SALA REGIONAL MONTERREY ,Impartición de justicia y mantenimiento de la seguridad y el orden público,51 a 100 personas,LOMA LARGA,64710,Nuevo León,Monterrey,80480840,XINTA.OLIVAREZ@TEGOB.MX,,100
35,VIVERO MUNICIPAL,VIVERO MUNICIPAL ,Regulación y fomento de actividades para mejorar y preservar el medio ambiente,51 a 100 personas,RIVERAS DEL RIO,67160,Nuevo León,Guadalupe,,VIVERO_GUADALUPE@HOTMAIL.COM,,100
36,BANCO BASE CORPORATIVO,BANCO BASE SA INSTITUCION DE BANCA MULTIPLE SA,Banca múltiple,251 y más personas,VALLE ORIENTE,66260,Nuevo León,San Pedro Garza García,8119920125,MVILLARRED@BANCOBASE.COM,BANCOBASE.COM,251
37,BANCO COMPARTAMOS GUADALUPE LA SILLA,BANCO COMPARTAMOS INSTITUCION DE BANCA MULTIPLE SA,Banca múltiple,51 a 100 personas,CAMINO REAL,67170,Nuevo León,Guadalupe,,GUADALUPELASILLA@COMPARTAMOS.COM,COMPARTAMOS.COM,100
38,BANCO COMPARTAMOS SAN NICOLAS,BANCO COMPARTAMOS INSTITUCION DE BANCA MULTIPLE SA,Banca múltiple,51 a 100 personas,ROBLES,66414,Nuevo León,San Nicolás de los Garza,,MONSANNICOLAS@COMPARTAMOS.COM,COMPARTAMOS.COM,100
39,BANCREA,BANCO BANCREA SA,Banca múltiple,101 a 250 personas,VALLE ORIENTE,66260,Nuevo León,San Pedro Garza García,,JBERRONES@BANCREA.COM,WWW.BANCREA.COM,250
40,BANREGIO COORPORATIVO ROMULO GARZA,BANCO REGIONAL SA INSTITUCION DE BANCA MULTIPLE BANREGIO GRUPO FINANCIERO SA,Banca múltiple,251 y más personas,VALLE ORIENTE,66269,Nuevo León,San Pedro Garza García,8180887857,SONIA.GALVAN@BANREGIO.COM,WWW.BANREGIO.COM,251
41,"BANREGIO SOLUCIONES FINANCIERAS, S.A. DE C.V. SOFOM ER BGF",BANREGIO SOLUCIONES FINANCIERAS SA DE CV SOFOM ER,Sociedades financieras de objeto múltiple,51 a 100 personas,LOMAS DE SAN FRANCISCO,64710,Nuevo León,Monterrey,,RICARDO.CASTRO@BANREGIO.COM,,100
42,CAJA BUENOS AIRES,CAJA BUENOS AIRES ,Cajas de ahorro popular,101 a 250 personas,UNION MODELO,67160,Nuevo León,Guadalupe,,RECURSOSHUMANOS@CAJABUENOSAIRES.COOP,WWW.CAJABUENOSAIRES.COOP,250
43,CAJA MITRAS,CAJA MITRAS S DE RL DE CV,Cajas de ahorro popular,51 a 100 personas,CENTRAL,64190,Nuevo León,Monterrey,,CARLOSGARCIA@CAJAMITRAS.COM,WWW.CAJAMITRAS.COM.MX,100
44,CATERPILLAR CREDITO SOFOM ER,CATERPILAR CREDITO SA DE CV SOFOM ENR,Sociedades financieras de objeto múltiple,51 a 100 personas,SANTA MARIA,64650,Nuevo León,Monterrey,,FRANCISCO.ESTEVA@CAT.COM,WWW.CATERPILLAR.COM,100
45,CHUBB SEGUROS CENTERS EQUUS 335,CHUBB SEGUROS MEXICO SA SA,Compañías de seguros,51 a 100 personas,ZONA SANTA ENGRACIA,66265,Nuevo León,Monterrey,,SERVICIO.CLIENTESMEXICO@CHUBB.COM,WWW.CHUBB.COM/MX-ES,100
46,CORSA SEGUROS,CONTROL OPERATIVO DE RIESGOS AGENTE DE SEGUROS Y DE FIANZAS SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",51 a 100 personas,OBISPADO,64060,Nuevo León,Monterrey,8119175393,JQUIROZ@CORSASEGUROS.COM,WWW.CORSASEGUROS.COM,100
47,CSN COOPERATIVA FINANCIERA,CSN COOPERATIVA FINANCIERA ,Cajas de ahorro popular,101 a 250 personas,LAS PUENTES,66460,Nuevo León,San Nicolás de los Garza,,ARODRIGUEZ@CSN.COOP,WWW.CAJASANNICOLAS.COM.MX,250
48,"DECO SEGUROS, S.A. DE C.V.",DECO SEGUROS SA DE CV,Compañías de seguros,51 a 100 personas,OBISPADO,64060,Nuevo León,Monterrey,,DECOSEGUROS@DECOSEGUROS.COM.MX,,100
49,DIVISAS SAN JORGE CASA DE CAMBIO ACTIVIDAD AUXILIAR DEL CREDITO,DIVISAS SAN JORGE CASA DE CAMBIO SA DE CV,Casas de cambio,251 y más personas,CENTRO,64000,Nuevo León,Monterrey,,MAYELA.MEDELLIN@SANJORGECC.COM.MX,WWW.SANJORGECC.COM.MX,251
50,DOLEX,DOLEX DOLAR EXPRESS ,Centros cambiarios,101 a 250 personas,MONTERREY CENTRO,64000,Nuevo León,Monterrey,5524416712,SERAFIN.MEZA@DOLEX.COM,WWW.DOLEX.COM,250
51,FINANCIERA MEXI,VIGUA SERVICIOS PATRIMONIALES SA DE CV,Sociedades financieras de objeto múltiple,251 y más personas,CENTRO,64000,Nuevo León,Monterrey,,OSWALDO.IBARRA@MEXI.COM,WWW.FMEXI.COM,251
52,FIRST CASH CORPORATIVO MONTERREY,FIRST CASH SA DE CV,Casas de empeño,101 a 250 personas,NUEVAS COLONIAS,64710,Nuevo León,Monterrey,8123194742,ADRIANA.VAZQUEZ@FIRSTCASH.COM,WWW.FIRSTCASH.MX,250
53,FM GLOBAL DE MÉXICO,FM GLOBAL DE MÉXICO SA DE CV,Compañías de seguros,51 a 100 personas,DEL VALLE SECT ORIENTE,66269,Nuevo León,San Pedro Garza García,,GAUDENCIO.CORTES@FMGLOBAL.COM,WWW.FMGLOBAL.MX,100
54,GRUPO ONIXAGENTE DE SEGUROS,GRUPO ONIX AGENTE DE SEGUROS SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",51 a 100 personas,CHEPEVERA,64030,Nuevo León,Monterrey,,INFO@SEGUROSONIX.COM,WWW.SEGUROSONIX.COM,100
55,MARSH MEXICO AGENTE DE SEGUROS Y FIANZAS SA DE C V,MARSH MEXICO AGENTE DE SEGUROS Y FIANZAS SA DE C V SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",51 a 100 personas,ZONA DEL VALLE,66278,Nuevo León,San Pedro Garza García,,ANA.GALINDO@MMC.COM,WWW.MMC.COM,100
56,MAXI PRENDA CORPORATIVO MONTERREY,,Casas de empeño,101 a 250 personas,NUEVAS COLONIAS,64710,Nuevo León,Monterrey,,ATENCIONALCLIENTE@FRISTCASH.COM,,250
57,METRO FINANCIERA,METRO FINANCIERA SAPI DE CV,Sociedades financieras de objeto múltiple,101 a 250 personas,SANTA BARBARA,66266,Nuevo León,San Pedro Garza García,,AANDRES@METROFINANCIERA.COM.MX,WWW.ME.TROFINANCIERA.COM.MX,250
58,MFM OPM SAPI DE CV SOFOM ENR,MFM OPM SAPI DE CV SOFOM ENR,Sociedades financieras de objeto múltiple,101 a 250 personas,RESIDENCIAL SAN AGUSTIN,66260,Nuevo León,San Pedro Garza García,,HECTOR.SOLIS@CAPITALTECH.MX,,250
59,MODULO TARJETA AMIGA,INVERSIONES ACCIONARIAS LANDUS SA DE CV,Otras instituciones de intermediación crediticia y financiera no bursátil,101 a 250 personas,CENTRO,64000,Nuevo León,Monterrey,,VICTOR.DAVILA@LAL.COM.MX,,250
60,MODULO TARJETA AMIGA,INVERSIONES ACCIONARIAS LANDUS SA DE CV,Otras instituciones de intermediación crediticia y financiera no bursátil,251 y más personas,CENTRO,64000,Nuevo León,Monterrey,8112160449,JURIDICO@LAL.COM.MX,WWW.TARJETAAMIGA.COM.MX,251
61,MONTERREY 1 MAS NOMINA,FISOFO SA DE CV SOFOM ENR,Sociedades financieras de objeto múltiple,51 a 100 personas,ZONA CENTRO,64000,Nuevo León,Monterrey,,JCUICAS@CONSUBANCO.COM,WWW.MASNOMINA.COM,100
62,MULTIASISTENCIAS,MULTIASISTENCIAS SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",101 a 250 personas,JARDINES DEL CERRO,64030,Nuevo León,Monterrey,,YANIDLIZBETT.AGUINAGA@BBVA.COM,,250
63,NET PAY,,Servicios relacionados con la intermediación crediticia no bursátil,101 a 250 personas,VALLE ORIENTE,66269,Nuevo León,San Pedro Garza García,,FINANZAS@NETPAY.COM.MX,WWW.NETPAY.MX,250
64,ODESSA,ODESSA AGENTE DE SEGUROS SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",51 a 100 personas,VALLE ORIENTE,66260,Nuevo León,San Pedro Garza García,,NELLY.GARCIA@ODS.COM.MX,,100
65,PRIMERO SEGUROS,PRIMERO SEGUROS SA DE CV,Compañías de seguros,101 a 250 personas,OBISPADO,64060,Nuevo León,Monterrey,,EVERARDO.HIPOLITO@PRIMEROSEGUROS.COM,,250
66,PRINCIPAL AFORE. PRINCIPAL GRUPO FINANCIERO,PRINCIPAL AFORE PRINCIPAL GRUPO FINANCIERO SA DE CV,Administración de cajas de pensión y de seguros independientes,251 y más personas,DEL VALLE,66200,Nuevo León,San Pedro Garza García,,CONTRERAS.LAURA@PRINCIPAL.COM,WWW.PRINCIPAL.COM.MX,251
67,SEGUROS BANORTE,SEGUROS BANORTE SA DE CV,Compañías de seguros,101 a 250 personas,CENTRO,,Nuevo León,Monterrey,8113511184,ANA.ACOSTA.RODRIGUEZ@BANORTE.COM,,250
68,"SEGUROS BANORTE GENERALI, GRUPO FINANCIERO BANORTE",SEGUROS BANORTE GENERALI GRUPO FINANCIERO BANORTE SA DE CV,Compañías de seguros,251 y más personas,CENTRO,,Nuevo León,Monterrey,81220201,LUIS.CARLOS.VAZQUEZ@BANORTE.COM,WWW.BANORTE.COM,251
69,VALLESCA,VALLESCA DESARROLLO EMPRESARIAL SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",251 y más personas,COMERCIAL GOMEZ MORIN,66220,Nuevo León,San Pedro Garza García,,VALLESCADRIVE@GMAIL.COM,WWW.VALLESCA.COM,251
70,"VALUE, S.A. DE C.V., CASA DE BOLSA,",VALUE  CASA DE BOLSA SA DE CV,Casas de bolsa,101 a 250 personas,BOSQUES DEL VALLE,66250,Nuevo León,San Pedro Garza García,,HMARTINEZ@VALUE.COM.MX,WWW.VALUE.COM.MX,250
71,YTURRIA AGENTE DE SEGUROS SA DE CV,YTURRIA AGENTE DE SEGUROS SA DE CV,"Agentes, ajustadores y gestores de seguros y fianzas",51 a 100 personas,COLINAS DE SAN JERONIMO,64339,Nuevo León,Monterrey,8181515151,INFO@YAS.COM.MX,WWW.YAS.COM.MX,100
72,ZURICH MONTERREY,ZURICH ASEGURADORA MEXICANA SA DE CV,Compañías de seguros,51 a 100 personas,DEL VALLE,66220,Nuevo León,San Pedro Garza García,,ATENCION.ZURICH@MX.ZURICH.COM,WWW.ZURICH.COM.MX,100
73,AAPSA,AUTO ARRENDADORA Y PROMOTORA SA DE CV,Alquiler de automóviles sin chofer,101 a 250 personas,RESIDENCIAL SAN AGUSTIN,66269,Nuevo León,San Pedro Garza García,,RUBEN.LEAL@SIXT.COM.MX,WWW.SIXT.COM.MX,250
74,ADMINISTRACION PLAZA CITADEL,OPERADORA TERECITA SA DE CV,Servicios de administración de bienes raíces,51 a 100 personas,LA FE,66477,Nuevo León,San Nicolás de los Garza,,INFO@CITADEL-MONTERREY.COM,WWW.CITADEL-MONTERREY.COM,100
75,ADMINISTRACION PLAZA HUAJUSCO,PLAZA HUAJUCO UNO SAPI DE CV,Servicios de administración de bienes raíces,51 a 100 personas,VALLE ALTO,64989,Nuevo León,Monterrey,8196886750,INFO@PUEBLOSERENA.COM,WWW.PUEBLOSERENA.COM,100
76,AGORA,PROYECTOS INMOBILIARIOS OLIMPIA SA DE CV,Inmobiliarias y corredores de bienes raíces,51 a 100 personas,VISTANCIA SEGUNDO SECTOR,64984,Nuevo León,Monterrey,,RESIDENCIAL@GRUPOAGORA.COM,WWW.GRUPOAGORA.COM,100
77,ALLIANCE RENTALS SERVICES,ALLIANCE RENTALS SERVICES SA DE CV,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales",51 a 100 personas,RESIDENCIAL CASA BELLA,66428,Nuevo León,San Nicolás de los Garza,8183326844,ADMINISTRACION@ALLIANCECENTRALS.COM.MX,,100
78,ARBOLEDA,SILICA DESARROLLOS SAPI DE CV,Inmobiliarias y corredores de bienes raíces,251 y más personas,VALLE DEL CAMPESTRE,66266,Nuevo León,San Pedro Garza García,,CBENAVIDES@ADG.COM,WWW.ARBOLEDA.MX,251
79,BASH INGENIERIA,BASH INGENIERIA SA DE CV,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",51 a 100 personas,INDUSTRIAL BENITO JUAREZ,64510,Nuevo León,Monterrey,,HECTOR.CORONA@GRUPOBASH.COM,WWW.BASHINGENIERIA.COM.MX,100
80,BRAVO MONTACARGAS,,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales",101 a 250 personas,PARQUE INDUSTRIAL MULTIPARK,66633,Nuevo León,Apodaca,,CARLOS.GAMEZ@BRAVO1.COM,WWW.BRAVOMONTACARGAS.COM,250
81,CASINO MONTERREY,CASINO DE MONTERREY SC,Alquiler sin intermediación de salones para fiestas y convenciones,101 a 250 personas,CENTRO,64000,Nuevo León,Monterrey,,GERENCIA@CASINOMONTERREY.COM.MX,,250
82,CENTRAL DE DESARROLLOS MARINOS,CENTRAL DE DESARROLLOS MARINOS SA DE CV,Alquiler de otros artículos para el hogar y personales,101 a 250 personas,EL LECHUGAL,66165,Nuevo León,Santa Catarina,,BUZONFISCALEYP@PROTEXA.COM.MX,WWW.PROTEXA.COM.MX,250
83,CENTRO COMERCIAL PLAZA CUMBRES,F I MANAGEMENT SA DE CV,Alquiler sin intermediación de oficinas y locales comerciales,51 a 100 personas,CONDOMINIOS PLAZA CUMBRES SA,64349,Nuevo León,Monterrey,,GTE-KCUMBRES@FIBRUNO.COM,,100
84,COMPAÑIA DE TELEFONOS Y BIENES RAICES,COMPAÑIA DE TELEFONOS DE MEXICO Y BIENES RAICES SA DE CV,Inmobiliarias y corredores de bienes raíces,101 a 250 personas,TECNOLOGICO,64849,Nuevo León,Monterrey,,ETRAPALA@TELMEX.COM,,250
85,EQUUS PARQUE CORPORATIVO,E ADMINISTRACION DE OFICINAS AC,Alquiler sin intermediación de oficinas y locales comerciales,51 a 100 personas,JARDINES DEL CAMPESTRE,66264,Nuevo León,San Pedro Garza García,,NINA.NAYA@EQUUS335.COM,,100
86,ESFERA CITY MONTERREY,INMOBILIARIA CINEMATOGRAFICA DEL NORTE SA DE CV,Inmobiliarias y corredores de bienes raíces,51 a 100 personas,LA RIOJA SEGUNDA ETAPA,64984,Nuevo León,Monterrey,8110600169,C.MORA@CITELIS.COM.MX,,100
87,FABRICACION DE MAQUINAS,FABRICACIÓN DE MAQUINAS SA DE CV,"Alquiler de maquinaria y equipo agropecuario, pesquero y para la industria manufacturera",251 y más personas,DEL PRADO,64410,Nuevo León,Monterrey,,RDELGADO@VITRO.COM,WWW.FAMA.COM.MX,251
88,GALERÍAS MONTERREY,ADCONMONT SA DE CV,Servicios de administración de bienes raíces,101 a 250 personas,COLONIA VISTA HERMOSA,64620,Nuevo León,Monterrey,,AITREJO@LIVERPOOL.COM.MX,WWW.GALERIASMONTERREY.COM,250
89,GM VYKON,GRUAS Y MANIOBRAS MONTERREY SA DE CV,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",251 y más personas,INDUSTRIAL NOGALAR,66480,Nuevo León,San Nicolás de los Garza,,NICOLAS.GAONA@GMVIKON.COM,WWW.GMVIKON.COM,251
90,GOIMSA GRUAS Y SERVICIOS SA DE CV,GOIMSA GRUAS Y SERVICIOS SA DE CV,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",51 a 100 personas,PRADERAS DE GUADALUPE,67195,Nuevo León,Guadalupe,8183262057,AALVARADO@GOIMSAGRUAS.COM,WWW.GOIMSAGRUAS.COM,100
91,GRUAS DEL NORTE,GRUAS DEL NORTE SA DE CV,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales",51 a 100 personas,COLONIA COLINAS DE SAN JERÃ¿NIMO,64630,Nuevo León,Monterrey,,CONTABILIDADJP@GRUASDELNORTE.COM.MX,WWW.GRUASDELNORTE.COM.MX,100
92,GRUAS MONTEMAYOR,GRUAS Y MANIOBRAS MONTEMAYOR SD RL DE CV,"Alquiler de maquinaria y equipo para mover, levantar y acomodar materiales",51 a 100 personas,PROGRESO,64420,Nuevo León,Monterrey,,MONTEMAYOR-GRUAS@YAHOO.COM.MX,WWW.GRUASMONTEMAYOR1.COM,100
93,GRUPO HALCON,COMPRESORES REGIOMONTANOS SA DE CV,"Alquiler de maquinaria y equipo para construcción, minería y actividades forestales",51 a 100 personas,TOPO CHICO,64260,Nuevo León,Monterrey,8183766800,INFO.HALCON@GMAIL.COM,WWW.HALCON.MX,100
